sku,product_name,total_stock,amazon_stock,flipkart_stock,meesho_stock,reorder_level,cost_price,last_updated
SKU001,Samsung Galaxy M34 5G (6GB+128GB),521,197,176,148,114,13500,2026-02-11
SKU002,Realme Narzo 60 Pro 5G (8GB+128GB),279,98,95,86,61,17500,2026-02-10
SKU003,Redmi Note 13 Pro (8GB+256GB),609,240,187,182,133,19000,2026-02-06
SKU004,OnePlus Nord CE 3 Lite 5G,753,273,235,245,165,15000,2026-02-13
SKU005,Poco X6 5G (8GB+256GB),576,227,192,157,126,16500,2026-02-11
SKU006,boAt Rockerz 450 Bluetooth Headphones,175,65,55,55,38,950,2026-02-09
SKU007,boAt Airdopes 131 TWS Earbuds,754,300,252,202,165,850,2026-02-06
SKU008,Noise Buds VS104 Plus TWS,409,147,130,132,89,700,2026-02-06
SKU009,JBL C100SI Wired Earphones,209,75,68,66,45,380,2026-02-09
SKU010,Sony WH-CH520 Wireless Headphones,402,141,137,124,88,2800,2026-02-07
SKU011,Mi Power Bank 3i 20000mAh,381,133,130,118,83,1200,2026-02-13
SKU012,Ambrane 10000mAh Power Bank,720,278,245,197,158,550,2026-02-09
SKU013,Portronics 20W Fast Charger,335,127,106,102,73,280,2026-02-10
SKU014,Anker 30W USB-C Charger,735,266,248,221,161,950,2026-02-11
SKU015,Samsung 25W Super Fast Charger,743,263,246,234,163,750,2026-02-13
SKU016,boAt Deuce USB 300 Type-C Cable,416,162,125,129,91,120,2026-02-08
SKU017,Mi Braided USB-C Cable 1.5m,234,82,73,79,51,180,2026-02-07
SKU018,AmazonBasics Lightning to USB-A Cable,279,100,94,85,61,280,2026-02-08
SKU019,Spigen Tough Armor Case,643,241,201,201,141,380,2026-02-11
SKU020,Case-U Silicone Back Cover,363,143,126,94,79,95,2026-02-09
SKU021,Gorilla Armored Tempered Glass,446,174,144,128,98,150,2026-02-12
SKU022,Noise ColorFit Pro 4 Alpha,244,94,75,75,53,1600,2026-02-07
SKU023,Fire-Boltt Phoenix Ultra,670,246,227,197,147,1400,2026-02-13
SKU024,boAt Wave Call 2,370,139,119,112,81,1100,2026-02-09
SKU025,Amazfit Bip 3 Pro,698,257,231,210,153,2200,2026-02-08
SKU026,Logitech M331 Silent Plus Mouse,210,80,67,63,46,580,2026-02-08
SKU027,HP X1000 Wired Mouse,724,261,219,244,159,220,2026-02-06
SKU028,Zebronics Zeb-K25 USB Keyboard,409,156,125,128,89,280,2026-02-13
SKU029,Portronics Toad 23 USB Hub,138,50,44,44,30,380,2026-02-12
SKU030,SanDisk 64GB Cruzer Blade USB,340,134,104,102,74,380,2026-02-06
